cutoff_date,days_since_start,doc_count,query_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
2025-03-07,7,427202,100,0.3572,0.5323,0.3173,0.8031,0.9292
2025-03-14,14,452907,100,0.3534,0.5295,0.3138,0.8,0.9292
2025-03-21,21,480630,100,0.3529,0.5283,0.3122,0.7963,0.9292
2025-03-28,28,507595,100,0.3495,0.5269,0.3105,0.7941,0.9292
2025-04-04,35,566913,100,0.3481,0.5244,0.3077,0.7912,0.9292
2025-04-11,42,595298,100,0.3481,0.5238,0.3069,0.7881,0.9292
2025-04-18,49,623424,100,0.3474,0.5231,0.3061,0.7851,0.9292
2025-04-25,56,644996,100,0.3463,0.5218,0.3046,0.7832,0.9292
2025-05-02,63,720118,100,0.3416,0.5172,0.2994,0.7597,0.9292
2025-05-09,70,743797,100,0.3378,0.5156,0.2975,0.7573,0.9292
2025-05-16,77,775356,100,0.3363,0.5132,0.2948,0.7519,0.9292
2025-05-23,84,801087,100,0.3323,0.5086,0.2892,0.7514,0.9292
2025-05-30,91,827269,100,0.3312,0.5077,0.2879,0.7477,0.9292
