model,split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
rrf_bm25_ft_dense_ta_dctr,march_april,createdDate,"3,4",93,134355,0.27414235568082224,0.3121941538839551,0.23030604880626707,0.5237455197132616,0.5367383512544802
rrf_bm25_ta_bm25_ft_dense_ta_dctr,march_april,createdDate,"3,4",93,134355,0.27102491680177787,0.3096126765312026,0.22330949488277918,0.5152329749103942,0.5515232974910395
custom_title_abstract_rerank_dctr,march_april,createdDate,"3,4",93,134355,0.2617378853316688,0.2898885327236322,0.227410263715078,0.4642771804062126,0.4642771804062126
official_pyterrier_dense_temporal_dctr,march_april,createdDate,"3,4",93,134355,0.2559925490097684,0.2897054869555999,0.2267573574728072,0.42317801672640376,0.4950716845878136
custom_lexical_fulltext_dctr,march_april,createdDate,"3,4",93,134355,0.24569388735555875,0.287431852579757,0.20443852779454036,0.5035842293906809,0.5232974910394265
official_pyterrier_dense_dctr,march_april,createdDate,"3,4",93,134355,0.24453547620661384,0.28250764849930227,0.21258558586297055,0.4710274790919952,0.4950716845878136
official_pyterrier_dctr,march_april,createdDate,"3,4",93,134355,0.24170086021265105,0.27525196038529454,0.21340478444094432,0.4481481481481481,0.4642771804062126
custom_title_abstract_rerank_temporal_citation_dctr,march_april,createdDate,"3,4",93,134355,0.2415857562806385,0.27900453971697603,0.21953485830729225,0.4589008363201911,0.4642771804062126
custom_title_abstract_rerank_temporal_dctr,march_april,createdDate,"3,4",93,134355,0.2395538262716406,0.27501246654765593,0.21487391157112612,0.4589008363201911,0.4642771804062126
custom_title_abstract_rm3_dctr,march_april,createdDate,"3,4",93,134355,0.23654652825643036,0.27214120681365,0.20850401504472457,0.4584826762246117,0.46475507765830354
rrf_bm25_ta_dense_ta_dctr,march_april,createdDate,"3,4",93,134355,0.23474309319160347,0.27578049635918506,0.19540166136955986,0.4649940262843488,0.5212066905615292
custom_lexical_fulltext_temporal_citation_dctr,march_april,createdDate,"3,4",93,134355,0.018534126163274323,0.10699153710321606,0.016374198117279852,0.17971923536439666,0.5232974910394265
custom_lexical_fulltext_temporal_dctr,march_april,createdDate,"3,4",93,134355,0.018534126163274323,0.10697984255335637,0.01636828246787198,0.17971923536439666,0.5232974910394265
official_pyterrier_temporal_dctr,march_april,createdDate,"3,4",93,134355,0.006724429292162193,0.087128052153457,0.01184976147418612,0.10483870967741937,0.4642771804062126
official_pyterrier_temporal_citation_dctr,march_april,createdDate,"3,4",93,134355,0.005861211971174963,0.08619391298133945,0.010882796528292092,0.10483870967741937,0.4642771804062126
custom_title_abstract_rm3_temporal_dctr,march_april,createdDate,"3,4",93,134355,0.0038301848076131417,0.0848660078102255,0.009077738265171064,0.0965352449223417,0.4647550776583035
rrf_bm25_ft_dense_ta_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2965452174211356,0.361310532776808,0.24497235688372776,0.6133202421862214,0.6494436262477499
rrf_bm25_ta_bm25_ft_dense_ta_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2885376068781852,0.35931441413776494,0.23534280335517835,0.6124447717231222,0.6652348224513173
official_pyterrier_dense_temporal_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2883147038082524,0.34058062141706336,0.25533637109190194,0.46770986745213555,0.5795450826378661
official_pyterrier_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.28776305488740644,0.33494522353599154,0.24706055275105981,0.539580265095729,0.5552282768777613
custom_title_abstract_rm3_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.279846590415671,0.32817077699810754,0.23774919337222047,0.5346833578792342,0.5654393716249386
custom_lexical_fulltext_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.27747637893490484,0.35427791433448785,0.24393416723692227,0.593233513336606,0.6307887416134839
custom_title_abstract_rerank_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.275069006256313,0.3242860595347289,0.23919632190304055,0.5370643102601864,0.5552282768777613
official_pyterrier_dense_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2709725944201423,0.3328428870779285,0.23931183945776405,0.5281418753068238,0.5795450826378661
rrf_bm25_ta_dense_ta_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2623717286829802,0.32206595819039263,0.2110649042929754,0.5323228604156438,0.6165684830633285
custom_title_abstract_rerank_temporal_citation_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.2409914778054289,0.30217323662812723,0.21741782593707634,0.5284732449680903,0.5552282768777613
custom_title_abstract_rerank_temporal_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.23824455914153098,0.3003500581167029,0.21656750384396586,0.5284732449680903,0.5552282768777613
custom_title_abstract_rm3_temporal_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.010309278350515464,0.10734913351039906,0.017193766770732567,0.08112420225822287,0.5654393716249386
custom_lexical_fulltext_temporal_citation_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.010236322315780082,0.11761289936595172,0.010761788654189676,0.05445099001800033,0.6307887416134839
custom_lexical_fulltext_temporal_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.010236322315780082,0.1176069372538388,0.010764732448577665,0.05445099001800033,0.6307887416134839
official_pyterrier_temporal_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.0075806798096076525,0.09924273775803769,0.009888874580698278,0.07158811978399608,0.5552282768777613
official_pyterrier_temporal_citation_dctr,march_april_may,createdDate,"3,4,5",97,232307,0.0070522174724799895,0.09869557707692957,0.009911416961814294,0.07158811978399608,0.5552282768777613
rrf_bm25_ft_dense_ta_dctr,march_only,createdDate,3,78,49631,0.25463777634645207,0.27175179181034004,0.22911740644851805,0.391025641025641,0.391025641025641
custom_lexical_fulltext_dctr,march_only,createdDate,3,78,49631,0.2366097470173559,0.24953394854045505,0.20849626634201107,0.36538461538461536,0.36538461538461536
rrf_bm25_ta_bm25_ft_dense_ta_dctr,march_only,createdDate,3,78,49631,0.2316227680558047,0.2529271187963896,0.2112635130423414,0.38461538461538464,0.38461538461538464
custom_title_abstract_rerank_dctr,march_only,createdDate,3,78,49631,0.20490593120240191,0.21012973415014138,0.17885461961548918,0.2905982905982906,0.2905982905982906
rrf_bm25_ta_dense_ta_dctr,march_only,createdDate,3,78,49631,0.20218998186655424,0.22848368187251253,0.18683046156487035,0.3525641025641026,0.3525641025641026
official_pyterrier_dense_dctr,march_only,createdDate,3,78,49631,0.20186590292759524,0.21670671182990184,0.17057865856012877,0.3525641025641026,0.3525641025641026
official_pyterrier_dense_temporal_dctr,march_only,createdDate,3,78,49631,0.19741634024158858,0.2194774911353325,0.1795254987930052,0.3525641025641026,0.3525641025641026
official_pyterrier_dctr,march_only,createdDate,3,78,49631,0.19340645271860285,0.2097691031576904,0.18160411257224984,0.2905982905982906,0.2905982905982906
custom_title_abstract_rerank_temporal_dctr,march_only,createdDate,3,78,49631,0.1916241338811832,0.20226698746077906,0.17051016192892623,0.2905982905982906,0.2905982905982906
custom_title_abstract_rerank_temporal_citation_dctr,march_only,createdDate,3,78,49631,0.18957804845068738,0.20245713324556644,0.17090296478883435,0.2905982905982906,0.2905982905982906
custom_title_abstract_rm3_dctr,march_only,createdDate,3,78,49631,0.18169060047082475,0.19958597125935418,0.1654146684150432,0.30341880341880345,0.30341880341880345
custom_title_abstract_rm3_temporal_dctr,march_only,createdDate,3,78,49631,0.011142966584091493,0.06586894112686317,0.01385914255600933,0.30341880341880345,0.30341880341880345
custom_lexical_fulltext_temporal_citation_dctr,march_only,createdDate,3,78,49631,0.010660956789533623,0.08228475702171179,0.01828670711493219,0.3525641025641026,0.36538461538461536
custom_lexical_fulltext_temporal_dctr,march_only,createdDate,3,78,49631,0.010660956789533623,0.08226049522358206,0.018261913639834537,0.3525641025641026,0.36538461538461536
official_pyterrier_temporal_citation_dctr,march_only,createdDate,3,78,49631,0.0014669182685436407,0.05955274581580092,0.010099114937026223,0.2905982905982906,0.2905982905982906
official_pyterrier_temporal_dctr,march_only,createdDate,3,78,49631,0.0014669182685436407,0.059590440722078544,0.010122976936880218,0.2905982905982906,0.2905982905982906
