model,pivot,metric,transition,earlier_split,later_split,earlier_score,later_score,ARP,MARP,RI,DRI,ER
official_pyterrier_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.25329585886392636,0.3234947027486001,0.3234947027486001,0.2883952808062632,-0.2771416958789895,0.0,1.0
custom_title_abstract_rm3_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.23567128279330832,0.2821537889396776,0.2821537889396776,0.25891253586649293,-0.19723449372122265,0.07990720215776687,0.7116738356372858
custom_title_abstract_rerank_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.23757500727014558,0.2757016520927282,0.2757016520927282,0.25663832968143685,-0.16048255774324338,0.11665913813574613,0.5790632017107815
custom_title_abstract_rerank_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.2677870273994537,0.30518524552783227,0.30518524552783227,0.28648613646364296,-0.13965657146114188,0.13748512441784763,0.5039175755138671
custom_lexical_fulltext_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.3220251106693471,0.3589332032214622,0.3589332032214622,0.34047915694540465,-0.11461246756627026,0.16252922831271926,0.41355187353805606
official_pyterrier_dense_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.27137148374814607,0.28612829626574343,0.28612829626574343,0.2787498900069447,-0.05437864109293383,0.22276305478605568,0.1962124137274443
rrf_bm25_ta_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.2533572015821528,0.26300160620818014,0.26300160620818014,0.25817940389516647,-0.038066431764324934,0.23907526411466457,0.13735367983367675
rrf_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.3245658732109398,0.3368438508734293,0.3368438508734293,0.3307048620421845,-0.03782892372824983,0.23931277215073968,0.13649668848373994
official_pyterrier_dense_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.26861223337259443,0.27185425056084983,0.27185425056084983,0.27023324196672216,-0.012069506840957487,0.26507218903803204,0.043549949431742986
rrf_bm25_ta_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.3135766040575544,0.3170279052920113,0.3170279052920113,0.31530225467478284,-0.011006245969241565,0.26613544990974797,0.03971342505621134
official_pyterrier_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.014906625112438607,0.013160332401963116,0.013160332401963116,0.014033478757200861,0.11714876421077522,0.39429046008976476,-0.42270349771521487
custom_title_abstract_rm3_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.023415640367519162,0.017082265488392277,0.017082265488392277,0.02024895292795572,0.2704762620078578,0.5476179578868473,-0.975949364638217
custom_lexical_fulltext_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_april->march_april_may,march_april,march_april_may,0.0197178894276595,0.013484528770311905,0.013484528770311905,0.016601209098985704,0.31612717376352034,0.5932688696425099,-1.1406698395233654
custom_title_abstract_rm3_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.008937727821143385,0.023415640367519162,0.023415640367519162,0.016176684094331276,-1.6198650077625263,-1.5280358998358565,17.639995033558122
official_pyterrier_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.010258723755672019,0.014906625112438607,0.014906625112438607,0.012582674434055313,-0.45306818542577254,-0.36123907749910283,4.9338188691495395
official_pyterrier_dense_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.20741559265827042,0.27137148374814607,0.27137148374814607,0.23939353820320824,-0.3083465918362599,-0.2165174839095902,3.3578306356029355
rrf_bm25_ta_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.20412193455110814,0.2533572015821528,0.2533572015821528,0.22873956806663048,-0.2412051754228163,-0.1493760674961466,2.626674492094937
official_pyterrier_dense_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.21882140778831974,0.26861223337259443,0.26861223337259443,0.24371682058045707,-0.22754092521167132,-0.13571181728500162,2.47787363232772
custom_title_abstract_rm3_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.19608977594867866,0.23567128279330832,0.23567128279330832,0.2158805293709935,-0.2018540061720968,-0.1100248982454271,2.198148394660304
rrf_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.27279616915778965,0.3245658732109398,0.3245658732109398,0.29868102118436474,-0.1897743073628199,-0.09794519943615018,2.0666029720594095
rrf_bm25_ta_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.266642686021331,0.3135766040575544,0.3135766040575544,0.2901096450394427,-0.1760180214823846,-0.0841889135557149,1.9167998628816485
custom_title_abstract_rerank_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.23071816857714525,0.2677870273994537,0.2677870273994537,0.24925259798829946,-0.16066727233019681,-0.06883816440352711,1.7496333783237656
custom_title_abstract_rerank_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.20637644799296323,0.23757500727014558,0.23757500727014558,0.2219757276315544,-0.15117306059190494,-0.05934395266523523,1.646243375386206
custom_lexical_fulltext_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.28741419035650534,0.3220251106693471,0.3220251106693471,0.3047196505129262,-0.12042175186239323,-0.028592643935723527,1.3113679810388252
official_pyterrier_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.23199222023391816,0.25329585886392636,0.25329585886392636,0.24264403954892227,-0.0918291079266697,0.0,1.0
custom_lexical_fulltext_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april,march_only,march_april,0.018574435533789815,0.0197178894276595,0.0197178894276595,0.019146162480724656,-0.061560626797490754,0.030268481129178952,0.6703824983974591
custom_title_abstract_rm3_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.008937727821143385,0.017082265488392277,0.017082265488392277,0.013009996654767831,-0.9112537134977308,-0.5168332349902196,2.3103610566721047
custom_title_abstract_rm3_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.19608977594867866,0.2821537889396776,0.2821537889396776,0.23912178244417812,-0.43890107260627353,-0.044480594098762316,1.112774555385859
official_pyterrier_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.23199222023391816,0.3234947027486001,0.3234947027486001,0.2777434614912591,-0.3944204785075112,0.0,1.0
official_pyterrier_dense_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.20741559265827042,0.28612829626574343,0.28612829626574343,0.24677194446200693,-0.37949270157888704,0.014927776928624181,0.9621526321728756
custom_title_abstract_rerank_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.20637644799296323,0.2757016520927282,0.2757016520927282,0.2410390500428457,-0.3359162577608115,0.0585042207466997,0.8516704280465357
custom_title_abstract_rerank_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.23071816857714525,0.30518524552783227,0.30518524552783227,0.2679517070524888,-0.32276208419098756,0.07165839431652365,0.8183197926545819
rrf_bm25_ta_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.20412193455110814,0.26300160620818014,0.26300160620818014,0.23356177037964415,-0.2884534275385759,0.10596705096893533,0.7313348146376296
official_pyterrier_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.010258723755672019,0.013160332401963116,0.013160332401963116,0.011709528078817567,-0.2828430431891497,0.1115774353183615,0.7171104407647113
custom_lexical_fulltext_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.28741419035650534,0.3589332032214622,0.3589332032214622,0.3231736967889838,-0.2488360535582655,0.14558442494924573,0.6308902988502579
official_pyterrier_dense_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.21882140778831974,0.27185425056084983,0.27185425056084983,0.2453378291745848,-0.24235673880606887,0.15206373970144235,0.6144628689746228
rrf_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.27279616915778965,0.3368438508734293,0.3368438508734293,0.30482001001560943,-0.23478218888987926,0.15963828961763196,0.5952586178544685
rrf_bm25_ta_bm25_ft_dense_ta_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.266642686021331,0.3170279052920113,0.3170279052920113,0.29183529565667116,-0.18896156509108056,0.20545891341643066,0.47908659764856004
custom_lexical_fulltext_temporal_dctr,official_pyterrier_dctr,ndcg_cut_10,march_only->march_april_may,march_only,march_april_may,0.018574435533789815,0.013484528770311905,0.013484528770311905,0.01602948215205086,0.2740275339306312,0.6684480124381424,-0.6947599043729994
