method,source,qrels_variant,run_path,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
official_pyterrier,official_bm25_reference,dctr,outputs\baseline_reference\bm25-snapshot-train-run,0.29221559108544737,0.45639639909005075,0.2572624910389203,0.6836081280512302,0.8580615587340512
official_pyterrier_dense,official_qwen_reference,dctr,outputs\baseline_reference\qwen3-snapshot-train-run,0.282026334517185,0.44828436674215977,0.23777381921846763,0.6389806065954771,0.8613187064152928
custom_lexical_fulltext,fulltext_bm25,dctr,outputs\custom_lexical_fulltext\snapshot-1-train\run.txt,0.33017325367375333,0.5077353847617554,0.28526696916176536,0.7393793873631186,0.9245427700696421
custom_title_abstract_rm3,title_abstract_rm3,dctr,outputs\custom_title_abstract_rm3\snapshot-1-train\run.txt,0.27812922888061964,0.45101961070166363,0.24017243056035148,0.6559464540124164,0.8701397990870102
custom_title_abstract_rerank,title_abstract_rerank,dctr,outputs\custom_title_abstract_rerank\snapshot-1-train\run.txt,0.3221555267026372,0.48206049747119795,0.2777275142389519,0.6952075123579022,0.8580615587340512
official_pyterrier,official_bm25_reference,raw,outputs\baseline_reference\bm25-snapshot-train-run,0.3309780749793819,0.503358590921202,0.26578908761232545,0.6831384955595388,0.856086684751824
official_pyterrier_dense,official_qwen_reference,raw,outputs\baseline_reference\qwen3-snapshot-train-run,0.31060204162806027,0.4874811818577431,0.2401879205128772,0.6379022535759477,0.8555038235857043
custom_lexical_fulltext,fulltext_bm25,raw,outputs\custom_lexical_fulltext\snapshot-1-train\run.txt,0.3636536257610053,0.5503703274946872,0.28990752060919944,0.7323558145307223,0.9205377832264199
custom_title_abstract_rm3,title_abstract_rm3,raw,outputs\custom_title_abstract_rm3\snapshot-1-train\run.txt,0.30739867403915777,0.4934107516480583,0.2469005112935497,0.6534192083822297,0.8688310824768228
custom_title_abstract_rerank,title_abstract_rerank,raw,outputs\custom_title_abstract_rerank\snapshot-1-train\run.txt,0.3373153681186338,0.5151862218108324,0.27502143046399746,0.6836214187129852,0.856086684751824
